CONTROL,PER,REGION,METRO3,VALUE,ZINC2,ROOMS,ZADEQ,UTILITY,FMTZADEQ
'730951000146',3,'4','3',600000,413294,7,'1',199,1 Adequate
'465583130133',3,'1','2',650000,413067,8,'1',355,1 Adequate
'730591990142',4,'3','3',750000,412964,9,'1',429.5,1 Adequate
'305493120144',4,'4','3',850000,412954,8,'1',651.3333333,1 Adequate
'411389950143',5,'3','3',460000,412489,12,'1',769.6666667,1 Adequate
'730644230141',2,'3','4',70000,410714,6,'1',261,1 Adequate
'737295670149',4,'4','2',600000,408364,11,'1',680.8333333,1 Adequate
'391336530133',2,'2','3',550000,408164,8,'1',246.8333333,1 Adequate
'489294660143',6,'3','2',260000,407964,12,'1',820.6666667,1 Adequate
'686129100149',4,'4','2',730000,407438,6,'1',180,1 Adequate
'688541980144',3,'4','1',400000,407438,6,'1',576,1 Adequate
'300607770146',2,'3','5',308000,406964,7,'1',220.1666667,1 Adequate
'399498940448',3,'3','4',65000,406964,6,'1',358.1666667,1 Adequate
'200173530103',2,'3','1',205000,406438,8,'1',205,1 Adequate
'200583930133',5,'1','2',850000,405964,9,'1',780.3333333,1 Adequate
'731705020147',5,'1','5',100000,405000,7,'1',184,1 Adequate
'689215940148',4,'1','2',450000,404238,13,'1',521.5,1 Adequate
'405434510142',2,'3','3',475000,404172,8,'1',548,1 Adequate
'589374560148',2,'1','2',275000,403359,6,'1',216.1666667,1 Adequate
'286822080147',6,'1','1',450000,402975,6,'1',189,1 Adequate
'200727130103',5,'3','2',700000,402964,11,'1',564.6666667,1 Adequate
'736591690142',4,'3','3',1000000,402438,9,'1',647.5,1 Adequate
'684129560146',4,'4','2',1000000,401564,9,'3',487.6666667,3 Severely Indadequa
'734558250148',2,'3','2',400000,400964,10,'1',274.5,1 Adequate
'499778920345',3,'4','3',1000000,400100,8,'1',459.3333333,1 Adequate
'289107370143',4,'3','1',250000,399229,10,'1',346,1 Adequate
'200494720147',3,'2','2',500000,398714,8,'1',492.8333333,1 Adequate
'699809930445',2,'4','3',250000,398495,10,'1',225,1 Adequate
'101502830133',4,'2','2',650000,398494,12,'1',461,1 Adequate
'389838580145',1,'4','1',200000,398064,9,'1',335,1 Adequate
'689240580143',5,'2','2',200000,397964,9,'1',414,1 Adequate
'730456630148',2,'2','5',260000,397964,7,'1',149.8333333,1 Adequate
'462583530133',2,'1','2',475000,397438,7,'1',447.25,1 Adequate
'285273380147',5,'1','2',470000,395964,9,'1',459.6666667,1 Adequate
'730052270144',1,'1','3',750000,395964,10,'1',668.5,1 Adequate
'199494958286',2,'3','3',330000,395764,5,'1',156,1 Adequate
'499795860347',2,'4','3',1000000,395438,6,'1',170,1 Adequate
'300583430103',2,'1','2',375000,394964,6,'1',169,1 Adequate
'199282900344',2,'2','3',249000,393964,9,'1',224.6666667,1 Adequate
'187502760140',3,'2','2',120000,392964,5,'1',345.5833333,1 Adequate
'594796530133',4,'1','2',450000,392964,7,'1',221.5833333,1 Adequate
'500504180143',2,'3','1',1005000,392964,10,'1',531.1666667,1 Adequate
'730029080147',2,'3','2',300000,392528,6,'1',228,1 Adequate
'189602570141',2,'4','1',375000,392464,7,'1',367.9166667,1 Adequate
'195273530133',4,'1','2',550000,392438,9,'1',358,1 Adequate
'287944990140',2,'3','2',500000,392064,10,'1',328.5,1 Adequate
'731437620142',4,'4','1',1200000,391964,9,'1',1163.166667,1 Adequate
'699014958180',4,'3','4',500000,390964,8,'1',408,1 Adequate
'200602170149',2,'1','4',190000,390438,7,'1',235.5833333,1 Adequate
'300927630103',2,'3','3',650000,390204,8,'1',316.3333333,1 Adequate
'730691320146',4,'3','4',400000,390064,8,'1',278.1666667,1 Adequate
'734389400149',4,'3','2',600000,388964,10,'1',307.5,1 Adequate
'733321320146',3,'3','3',450000,388464,8,'1',515.8333333,1 Adequate
'601932570248',3,'2','2',750000,387966,12,'1',435.25,1 Adequate
'174129920149',2,'4','2',550000,387964,6,'1',77,1 Adequate
'186903330148',3,'1','2',800000,387964,8,'1',369.3333333,1 Adequate
'400389730103',3,'3','1',241000,387964,11,'1',272.6666667,1 Adequate
'601067980241',5,'2','3',800000,387964,9,'1',618,1 Adequate
'689379500244',4,'1','1',700000,387964,4,'1',120,1 Adequate
'730512560144',4,'4','2',550000,387964,16,'1',677.25,1 Adequate
'731097280145',2,'4','2',460000,387964,8,'1',275,1 Adequate
'289907790141',3,'3','2',220000,387464,9,'1',299.5,1 Adequate
'501850540140',1,'4','2',660000,387438,6,'1',230,1 Adequate
'400970130103',2,'3','4',1000500,387419,9,'1',260.3333333,1 Adequate
'732164840142',5,'3','2',215000,386964,8,'1',478.6666667,1 Adequate
'699065978183',4,'2','3',230000,386744,10,'1',481.3333333,1 Adequate
'187880980147',3,'1','2',500000,386654,8,'1',303.75,1 Adequate
'400129530103',2,'4','3',375000,385964,8,'1',238.0833333,1 Adequate
'730872160144',4,'4','3',585000,385964,9,'1',383.6666667,1 Adequate
'199306810243',4,'3','1',680000,385964,10,'1',413,1 Adequate
'737638070147',4,'3','2',300000,385864,9,'1',578,1 Adequate
'200883130141',2,'1','1',250000,384964,6,'1',466.3333333,1 Adequate
'201944320143',4,'3','3',723500,384164,11,'1',344,1 Adequate
'730824360145',2,'4','1',750000,384032,8,'1',341.3333333,1 Adequate
'100138130103',2,'2','1',410000,383964,11,'1',198.5833333,1 Adequate
'300733130103',3,'4','2',415000,383764,7,'1',253.6666667,1 Adequate
'688250300147',5,'3','2',500000,383164,8,'1',385.6666667,1 Adequate
'301583030133',2,'1','2',535000,382964,10,'1',366,1 Adequate
'303494520147',3,'2','2',500000,382964,10,'1',606.1666667,1 Adequate
'487593080148',2,'3','2',800000,382964,8,'1',218.1666667,1 Adequate
'400882130103',4,'3','1',360,382964,7,'1',353.8333333,1 Adequate
'732321700140',6,'3','2',600000,382964,9,'1',708,1 Adequate
'287622980149',3,'2','2',500000,382464,6,'1',85,1 Adequate
'501086510141',3,'3','3',500000,382438,8,'1',360,1 Adequate
'201438780240',2,'3','3',360000,381964,6,'1',375,1 Adequate
'259583430133',3,'1','2',425000,381564,8,'1',293.0833333,1 Adequate
'103583520149',6,'1','2',950000,381464,9,'1',468.1666667,1 Adequate
'400092130103',4,'1','3',450000,381414,8,'1',281.1666667,1 Adequate
'300950430103',7,'3','2',750,380964,11,'1',534,1 Adequate
'283846530145',3,'3','1',140000,380964,7,'1',547,1 Adequate
'472383540144',3,'4','1',1200000,380488,5,'1',425.6666667,1 Adequate
'730504170144',2,'3','1',300000,379964,8,'1',399,1 Adequate
'214926790144',3,'3','1',280000,379238,9,'1',560.6666667,1 Adequate
'499961860243',4,'1','3',700000,378964,11,'1',340,1 Adequate
'730033050143',2,'1','3',450000,378764,9,'1',409.3333333,1 Adequate
'187294320149',5,'3','2',500000,378438,8,'1',444.8333333,1 Adequate
'192489130133',3,'1','2',450000,378292,8,'1',239,1 Adequate
'299482798488',2,'2','3',600000,377964,8,'1',804.4166667,1 Adequate
'733383000144',5,'4','3',1150000,377464,7,'1',268,1 Adequate
'100600770140',1,'1','2',300000,377438,5,'1',130,1 Adequate
'288662530141',4,'4','3',696000,377438,4,'1',174,1 Adequate
'388293970149',2,'2','3',300000,377438,8,'1',423,1 Adequate
'499502940240',5,'2','3',500000,377438,9,'1',280.6666667,1 Adequate
'600583530133',2,'1','3',1000000,377438,9,'1',263.5,1 Adequate
'699122918084',2,'1','3',300000,377438,8,'1',109.3333333,1 Adequate
'734512760143',4,'3','2',350000,377438,8,'1',342.3333333,1 Adequate
